id,employee_id,department,performance_score,years_with_company,salary
1,998,Accounting,4.4,4,31942.73
2,868,Research and Development,2.28,20,66880.62
3,230,Engineering,1.81,0,37426.08
4,271,Sales,3.68,3,98632.97
5,739,Support,4.12,29,86913.43
6,234,Support,2.56,22,69032.0
7,49,Training,2.35,25,55550.17
8,692,Support,1.54,9,58776.98
9,169,Support,4.14,23,82827.94
10,383,Product Management,3.23,25,95554.25
11,258,Business Development,1.09,13,48808.48
12,969,Sales,2.89,21,80142.45
13,661,Training,3.1,30,60920.48
14,43,Services,3.11,23,65845.19
15,805,Business Development,1.31,20,97382.66
16,722,Product Management,1.06,26,70470.53
17,931,Marketing,1.6,10,53317.91
18,332,Research and Development,4.76,15,33635.45
19,657,Engineering,4.75,27,46930.37
20,415,Services,3.32,11,69987.47
21,30,Marketing,4.25,30,73070.11
22,502,Support,3.29,28,43994.11
23,650,Sales,1.9,1,89471.68
24,217,Training,4.89,6,71318.09
25,327,Support,4.29,7,66745.55
26,975,Sales,2.73,2,41877.54
27,47,Product Management,1.75,17,37857.68
28,280,Product Management,2.76,14,39467.53
29,492,Accounting,3.89,7,30644.83
30,350,Training,3.87,18,85887.24
31,494,Training,1.14,12,47933.51
32,210,Accounting,4.53,23,90928.38
33,949,Training,1.9,17,96237.65
34,649,Business Development,4.41,21,75036.5
35,68,Engineering,4.44,6,57666.93
36,15,Legal,3.93,5,64863.13
37,202,Business Development,4.68,4,97483.49
38,131,Accounting,4.81,25,85509.06
39,400,Business Development,3.1,7,39689.71
40,164,Product Management,1.35,0,33981.7
41,733,Marketing,3.79,2,49439.33
42,78,Sales,3.71,4,62864.51
43,553,Marketing,2.3,0,45456.44
44,638,Research and Development,2.53,15,92440.06
45,872,Research and Development,2.49,7,57768.41
46,362,Engineering,2.75,16,91128.99
47,50,Human Resources,1.55,30,39857.53
48,877,Accounting,3.25,13,47777.3
49,159,Accounting,1.28,22,85239.57
50,393,Sales,1.78,22,93827.98
51,489,Business Development,5.0,6,63070.07
52,876,Engineering,4.02,5,34571.22
53,421,Legal,2.43,22,99560.44
54,300,Legal,4.02,10,91623.41
55,300,Product Management,2.16,5,70963.73
56,148,Training,4.57,29,54123.33
57,160,Legal,2.67,3,31634.65
58,869,Business Development,2.06,23,49737.07
59,297,Engineering,4.45,17,70698.42
60,531,Human Resources,4.89,11,53782.38
61,971,Legal,3.67,13,57060.97
62,298,Product Management,1.49,15,54350.88
63,196,Services,1.97,2,34368.99
64,656,Marketing,1.19,8,58458.1
65,988,Business Development,3.04,29,91331.91
66,801,Support,1.89,25,95253.13
67,505,Marketing,2.5,16,49374.63
68,736,Engineering,1.37,24,62875.12
